,dir,idx,psnr,ssim,time,score
250,0160_007_IP_00400_00400_3200_L,0,59.836,0.99815,3.31min,99.37766666666667
251,0160_007_IP_00400_00400_3200_L,1,59.88008,0.99815,3.31min,99.49521333333334
252,0161_007_IP_00800_00800_3200_L,0,62.65696,0.99811,3.31min,106.89622666666668
253,0161_007_IP_00800_00800_3200_L,1,62.71992,0.99813,3.31min,107.06612
254,0163_007_IP_00100_00100_3200_N,0,43.5698,0.97408,3.31min,53.594133333333325
255,0163_007_IP_00100_00100_3200_N,1,43.58768,0.97414,3.31min,53.647813333333325
256,0164_007_IP_00400_00400_3200_N,0,51.97126,0.99443,3.31min,78.03302666666667
257,0164_007_IP_00400_00400_3200_N,1,51.78276,0.99443,3.31min,77.53036000000002
258,0165_007_IP_00800_00800_3200_N,0,56.30087,0.99755,3.31min,89.89065333333335
259,0165_007_IP_00800_00800_3200_N,1,56.26111,0.99754,3.31min,89.78362666666668
260,0166_007_IP_01600_01600_3200_N,0,60.18371,0.99818,3.31min,100.30789333333333
261,0166_007_IP_01600_01600_3200_N,1,60.10717,0.99815,3.31min,100.10078666666669
262,0167_008_N6_00100_00050_4400_L,0,52.38728,0.99411,3.57min,79.11041333333331
263,0167_008_N6_00100_00050_4400_L,1,52.38842,0.99412,3.56min,79.11445333333334
264,0168_008_N6_00400_00200_4400_L,0,52.72437,0.99204,3.57min,79.80232000000001
265,0168_008_N6_00400_00200_4400_L,1,52.96455,0.99237,3.57min,80.47579999999999
266,0169_008_N6_00800_00400_4400_L,0,50.69434,0.98308,3.56min,73.49290666666664
267,0169_008_N6_00800_00400_4400_L,1,50.81625,0.9833,3.56min,73.83999999999999
268,0170_008_N6_01600_00800_4400_L,0,47.47153,0.97765,3.57min,64.35574666666668
269,0170_008_N6_01600_00800_4400_L,1,47.41362,0.9777,3.57min,64.20632
270,0172_008_G4_00100_00100_4400_N,0,42.66023,0.9808,4.32min,51.840613333333316
271,0172_008_G4_00100_00100_4400_N,1,42.71085,0.98129,4.32min,52.0246
272,0173_008_G4_00400_00400_4400_N,0,45.66574,0.9857,4.31min,60.345306666666666
273,0173_008_G4_00400_00400_4400_N,1,45.50427,0.98522,4.32min,59.866719999999994
274,0175_008_S6_00100_00025_5500_L,0,46.8981,0.98665,4.35min,63.7266
275,0175_008_S6_00100_00025_5500_L,1,47.04001,0.98704,4.36min,64.14402666666668
276,0177_008_S6_00800_00200_5500_L,0,43.95659,0.97265,4.36min,54.48257333333333
277,0177_008_S6_00800_00200_5500_L,1,43.87514,0.97221,4.37min,54.22137333333333
278,0178_008_S6_01600_00400_5500_L,0,42.32699,0.96317,4.36min,49.18897333333333
279,0178_008_S6_01600_00400_5500_L,1,42.11797,0.96123,4.35min,48.43758666666667
280,0179_008_S6_03200_00800_5500_L,0,39.02574,0.91809,4.36min,35.87763999999999
281,0179_008_S6_03200_00800_5500_L,1,38.86779,0.91513,4.35min,35.160439999999994
282,0180_008_GP_00100_00100_5500_N,0,42.40377,0.98088,3.36min,51.16472000000001
283,0180_008_GP_00100_00100_5500_N,1,42.40213,0.98095,3.43min,51.16734666666667
284,0181_008_GP_00800_00800_5500_N,0,44.00181,0.98328,3.44min,55.66616
285,0181_008_GP_00800_00800_5500_N,1,44.04499,0.98355,3.44min,55.80830666666666
286,0182_008_GP_03200_03200_5500_N,0,41.65398,0.96476,3.42min,47.55327999999998
287,0182_008_GP_03200_03200_5500_N,1,41.74584,0.9653,3.37min,47.85224
288,0184_008_IP_00100_00100_3200_L,0,51.91819,0.99417,3.33min,77.86550666666666
289,0184_008_IP_00100_00100_3200_L,1,51.87683,0.9941,3.38min,77.74821333333333
290,0185_008_IP_00400_00400_3200_L,0,55.58741,0.9954,3.37min,87.77309333333332
291,0185_008_IP_00400_00400_3200_L,1,55.58295,0.99545,3.36min,87.76619999999998
292,0186_008_IP_00800_00800_3200_L,0,58.771,0.99635,3.36min,96.35766666666667
293,0186_008_IP_00800_00800_3200_L,1,58.76486,0.99653,3.37min,96.35929333333333
294,0188_008_IP_00100_00100_3200_N,0,42.30569,0.98883,3.32min,51.69817333333333
295,0188_008_IP_00100_00100_3200_N,1,42.44978,0.98906,3.31min,52.10541333333333
296,0189_008_IP_00400_00400_3200_N,0,47.94014,0.99102,3.31min,66.94237333333332
297,0189_008_IP_00400_00400_3200_N,1,47.91378,0.99097,3.31min,66.86708000000002
298,0190_008_IP_00800_00800_3200_N,0,52.35251,0.99443,3.31min,79.04969333333334
299,0190_008_IP_00800_00800_3200_N,1,52.39853,0.99447,3.30min,79.17641333333333
300,0191_008_IP_01600_01600_3200_N,0,56.20045,0.99589,3.32min,89.45686666666666
